case,phase,condition,session,outcome
Sam,A1,A,1,9.91
Sam,A1,A,3,14.91
Sam,A1,A,4,14.91
Sam,A1,A,5,10.89
Sam,A1,A,6,12.85
Sam,B1,B,8,10.89
Sam,B1,B,9,25.91
Sam,B1,B,10,18.94
Sam,B1,B,11,11.98
Sam,B1,B,12,23.08
Sam,B1,B,13,25.04
Sam,B1,B,14,27.98
Sam,B1,B,15,45.18
Sam,B1,B,16,26.89
Sam,B1,B,17,23.08
Sam,B1,B,18,47.14
Sam,B1,B,19,50.19
Sam,B1,B,21,31.24
Sam,B1,B,22,42.13
Sam,B1,B,23,42.13
Sam,B1,B,24,63.14
Gerald,A1,A,1,6.86
Gerald,A1,A,2,4.9
Gerald,A1,A,3,5.88
Gerald,A1,A,5,10.89
Gerald,A1,A,6,4.9
Gerald,B1,B,8,4.9
Gerald,B1,B,9,7.95
Gerald,B1,B,10,10.89
Gerald,B1,B,11,0.87
Gerald,B1,B,12,9.91
Gerald,B1,B,13,8.93
Gerald,B1,B,14,12.95
Gerald,B1,B,15,11.87
Gerald,B1,B,16,3.92
Gerald,B1,B,17,4.9
Gerald,B1,B,18,16.87
Gerald,B1,B,19,23.95
Gerald,B1,B,20,20.9
Rich,A1,A,1,4.99
Rich,A1,A,2,7.05
Rich,A1,A,3,2.06
Rich,A1,A,5,2.06
Rich,A1,A,6,4.99
Rich,A1,A,7,4.02
Rich,A1,A,8,4.99
Rich,A1,A,9,4.02
Rich,A1,A,10,2.06
Rich,A1,A,11,7.05
Rich,B1,B,12,5.97
Rich,B1,B,13,10.09
Rich,B1,B,14,3.04
Rich,B1,B,15,4.02
Rich,B1,B,16,2.06
Rich,B1,B,17,8.03
Rich,B1,B,18,16.93
Rich,B1,B,19,5.97
Rich,B1,B,20,5.97
Rich,B1,B,21,15.84
Rich,B1,B,22,14
Rich,B1,B,23,11.94
Rich,B1,B,24,14
Rich,B1,B,25,12.91
Rich,B1,B,26,7.05
Rich,B1,B,27,16.93
Rich,B1,B,28,14
Jack,A1,A,1,1.09
Jack,A1,A,2,3.04
Jack,A1,A,4,1.95
Jack,A1,A,5,1.95
Jack,A1,A,6,1.95
Jack,A1,A,7,4.02
Jack,A1,A,8,1.09
Jack,A1,A,9,9.01
Jack,A1,A,11,4.99
Jack,B1,B,12,4.02
Jack,B1,B,13,4.02
Jack,B1,B,14,1.09
Jack,B1,B,15,0
Jack,B1,B,16,2.06
Jack,B1,B,17,4.99
Jack,B1,B,18,7.05
Jack,B1,B,19,7.05
Jack,B1,B,20,11.07
Jack,B1,B,21,8.03
Jack,B1,B,22,11.07
Jack,B1,B,23,8.03
Jack,B1,B,24,7.05
Jack,B1,B,25,8.03
Jack,B1,B,26,4.99
Jack,B1,B,27,4.99
Jack,B1,B,28,7.05
Emma,A1,A,2,0.87
Emma,A1,A,5,6.97
Emma,A1,A,7,0.87
Emma,A1,A,8,1.85
Emma,A1,A,9,0.87
Emma,A1,A,10,4.9
Emma,A1,A,11,2.83
Emma,A1,A,12,4.9
Emma,A1,A,13,1.85
Emma,A1,A,14,16.11
Emma,A1,A,15,2.83
Emma,A1,A,17,8.93
Emma,A1,A,18,6.97
Emma,A1,A,19,12.95
Emma,A1,A,20,14.04
Emma,B1,B,21,15.02
Emma,B1,B,22,12.95
Emma,B1,B,23,25.04
Emma,B1,B,24,11.98
Emma,B1,B,25,5.88
Emma,B1,B,26,11.98
Emma,B1,B,27,21.01
Emma,B1,B,28,11.98
Emma,B1,B,29,10.02
Emma,B1,B,30,26.13
Kim,A1,A,2,1.74
Kim,A1,A,5,3.92
Kim,A1,A,7,2.94
Kim,A1,A,8,0
Kim,A1,A,9,0.87
Kim,A1,A,10,0.87
Kim,A1,A,11,8.93
Kim,A1,A,12,4.9
Kim,A1,A,13,0.87
Kim,A1,A,14,4.9
Kim,A1,A,15,2.94
Kim,A1,A,16,5.99
Kim,A1,A,17,1.85
Kim,A1,A,18,8.93
Kim,A1,A,19,3.92
Kim,A1,A,20,2.94
Kim,B1,B,21,12.95
Kim,B1,B,22,4.9
Kim,B1,B,23,14.04
Kim,B1,B,24,8.06
Kim,B1,B,25,8.06
Kim,B1,B,26,11
Kim,B1,B,27,8.06
Kim,B1,B,28,6.97
Kim,B1,B,29,3.92
Kim,B1,B,30,8.93
