school,group,case,treatment,session,session_trt,outcome,session_c
school 1,School 1  Group 1,student 1,baseline,1,0,69,-20
school 1,School 1  Group 1,student 1,baseline,2,0,71,-19
school 1,School 1  Group 1,student 1,baseline,3,0,79,-18
school 1,School 1  Group 1,student 1,baseline,4,0,72,-17
school 1,School 1  Group 1,student 1,baseline,5,0,67,-16
school 1,School 1  Group 1,student 1,treatment,11,6,76,-10
school 1,School 1  Group 1,student 1,treatment,16,11,68,-5
school 1,School 1  Group 1,student 1,treatment,21,16,72,0
school 1,School 1  Group 1,student 1,treatment,25,20,81,4
school 1,School 1  Group 1,student 1,treatment,30,25,87,9
school 1,School 1  Group 1,student 1,treatment,35,30,84,14
school 1,School 1  Group 1,student 1,treatment,39,34,104,18
school 1,School 1  Group 1,student 1,treatment,44,39,91,23
school 1,School 1  Group 1,student 1,treatment,49,44,96,28
school 1,School 1  Group 1,student 1,treatment,54,49,92,33
school 1,School 1  Group 1,student 2,baseline,1,0,19,-20
school 1,School 1  Group 1,student 2,baseline,2,0,35,-19
school 1,School 1  Group 1,student 2,baseline,3,0,43,-18
school 1,School 1  Group 1,student 2,baseline,4,0,42,-17
school 1,School 1  Group 1,student 2,baseline,5,0,37,-16
school 1,School 1  Group 1,student 2,treatment,7,2,45,-14
school 1,School 1  Group 1,student 2,treatment,11,6,43,-10
school 1,School 1  Group 1,student 2,treatment,16,11,44,-5
school 1,School 1  Group 1,student 2,treatment,21,16,51,0
school 1,School 1  Group 1,student 2,treatment,25,20,54,4
school 1,School 1  Group 1,student 2,treatment,30,25,49,9
school 1,School 1  Group 1,student 2,treatment,35,30,43,14
school 1,School 1  Group 1,student 2,treatment,39,34,48,18
school 1,School 1  Group 1,student 2,treatment,44,39,52,23
school 1,School 1  Group 1,student 2,treatment,49,44,53,28
school 1,School 1  Group 1,student 2,treatment,54,49,59,33
school 1,School 1  Group 1,student 3,baseline,3,0,60,-18
school 1,School 1  Group 1,student 3,baseline,4,0,68,-17
school 1,School 1  Group 1,student 3,baseline,5,0,78,-16
school 1,School 1  Group 1,student 3,treatment,7,2,76,-14
school 1,School 1  Group 1,student 3,treatment,11,6,83,-10
school 1,School 1  Group 1,student 3,treatment,16,11,79,-5
school 1,School 1  Group 1,student 3,treatment,21,16,88,0
school 1,School 1  Group 1,student 3,treatment,25,20,81,4
school 1,School 1  Group 1,student 3,treatment,30,25,86,9
school 1,School 1  Group 1,student 3,treatment,35,30,86,14
school 1,School 1  Group 1,student 3,treatment,39,34,97,18
school 1,School 1  Group 1,student 3,treatment,44,39,88,23
school 1,School 1  Group 1,student 3,treatment,49,44,91,28
school 1,School 1  Group 1,student 3,treatment,54,49,100,33
school 1,School 1  Group 2,student 4,baseline,1,0,32,-20
school 1,School 1  Group 2,student 4,baseline,2,0,59,-19
school 1,School 1  Group 2,student 4,baseline,3,0,52,-18
school 1,School 1  Group 2,student 4,baseline,4,0,54,-17
school 1,School 1  Group 2,student 4,baseline,5,0,56,-16
school 1,School 1  Group 2,student 4,treatment,7,2,56,-14
school 1,School 1  Group 2,student 4,treatment,11,6,69,-10
school 1,School 1  Group 2,student 4,treatment,16,11,72,-5
school 1,School 1  Group 2,student 4,treatment,21,16,81,0
school 1,School 1  Group 2,student 4,treatment,25,20,72,4
school 1,School 1  Group 2,student 4,treatment,30,25,73,9
school 1,School 1  Group 2,student 4,treatment,35,30,85,14
school 1,School 1  Group 2,student 4,treatment,39,34,76,18
school 1,School 1  Group 2,student 4,treatment,44,39,80,23
school 1,School 1  Group 2,student 4,treatment,49,44,81,28
school 1,School 1  Group 2,student 4,treatment,54,49,86,33
school 1,School 1  Group 2,student 5,baseline,1,0,64,-20
school 1,School 1  Group 2,student 5,baseline,2,0,76,-19
school 1,School 1  Group 2,student 5,baseline,3,0,70,-18
school 1,School 1  Group 2,student 5,baseline,4,0,62,-17
school 1,School 1  Group 2,student 5,baseline,5,0,60,-16
school 1,School 1  Group 2,student 5,treatment,7,2,62,-14
school 1,School 1  Group 2,student 5,treatment,16,11,79,-5
school 1,School 1  Group 2,student 5,treatment,21,16,77,0
school 1,School 1  Group 2,student 5,treatment,25,20,79,4
school 1,School 1  Group 2,student 5,treatment,30,25,91,9
school 1,School 1  Group 2,student 5,treatment,35,30,95,14
school 1,School 1  Group 2,student 5,treatment,39,34,85,18
school 1,School 1  Group 2,student 5,treatment,44,39,82,23
school 1,School 1  Group 2,student 5,treatment,49,44,91,28
school 1,School 1  Group 2,student 5,treatment,54,49,98,33
school 1,School 1  Group 2,student 6,baseline,1,0,70,-20
school 1,School 1  Group 2,student 6,baseline,2,0,73,-19
school 1,School 1  Group 2,student 6,baseline,3,0,75,-18
school 1,School 1  Group 2,student 6,baseline,4,0,70,-17
school 1,School 1  Group 2,student 6,baseline,5,0,79,-16
school 1,School 1  Group 2,student 6,treatment,7,2,92,-14
school 1,School 1  Group 2,student 6,treatment,11,6,98,-10
school 1,School 1  Group 2,student 6,treatment,16,11,90,-5
school 1,School 1  Group 2,student 6,treatment,21,16,82,0
school 1,School 1  Group 2,student 6,treatment,25,20,88,4
school 1,School 1  Group 2,student 6,treatment,30,25,93,9
school 1,School 1  Group 2,student 6,treatment,35,30,85,14
school 1,School 1  Group 2,student 6,treatment,39,34,97,18
school 1,School 1  Group 2,student 6,treatment,44,39,89,23
school 1,School 1  Group 2,student 6,treatment,49,44,121,28
school 1,School 1  Group 2,student 6,treatment,54,49,119,33
school 2,School 2  Group 1,student 1,baseline,3,0,84,-18
school 2,School 2  Group 1,student 1,baseline,4,0,82,-17
school 2,School 2  Group 1,student 1,baseline,6,0,78,-15
school 2,School 2  Group 1,student 1,baseline,8,0,91,-13
school 2,School 2  Group 1,student 1,treatment,11,3,99,-10
school 2,School 2  Group 1,student 1,treatment,16,8,102,-5
school 2,School 2  Group 1,student 1,treatment,21,13,98,0
school 2,School 2  Group 1,student 1,treatment,25,17,107,4
school 2,School 2  Group 1,student 1,treatment,30,22,117,9
school 2,School 2  Group 1,student 1,treatment,35,27,115,14
school 2,School 2  Group 1,student 1,treatment,39,31,114,18
school 2,School 2  Group 1,student 1,treatment,44,36,107,23
school 2,School 2  Group 1,student 1,treatment,49,41,125,28
school 2,School 2  Group 1,student 1,treatment,54,46,121,33
school 2,School 2  Group 1,student 2,baseline,1,0,72,-20
school 2,School 2  Group 1,student 2,baseline,3,0,71,-18
school 2,School 2  Group 1,student 2,baseline,4,0,67,-17
school 2,School 2  Group 1,student 2,baseline,6,0,64,-15
school 2,School 2  Group 1,student 2,baseline,8,0,63,-13
school 2,School 2  Group 1,student 2,treatment,16,8,70,-5
school 2,School 2  Group 1,student 2,treatment,21,13,77,0
school 2,School 2  Group 1,student 2,treatment,25,17,82,4
school 2,School 2  Group 1,student 2,treatment,30,22,81,9
school 2,School 2  Group 1,student 2,treatment,35,27,85,14
school 2,School 2  Group 1,student 2,treatment,39,31,87,18
school 2,School 2  Group 1,student 2,treatment,44,36,97,23
school 2,School 2  Group 1,student 2,treatment,49,41,109,28
school 2,School 2  Group 1,student 2,treatment,54,46,87,33
school 2,School 2  Group 1,student 3,baseline,1,0,58,-20
school 2,School 2  Group 1,student 3,baseline,3,0,69,-18
school 2,School 2  Group 1,student 3,baseline,4,0,70,-17
school 2,School 2  Group 1,student 3,baseline,6,0,63,-15
school 2,School 2  Group 1,student 3,baseline,8,0,70,-13
school 2,School 2  Group 1,student 3,treatment,16,8,77,-5
school 2,School 2  Group 1,student 3,treatment,21,13,92,0
school 2,School 2  Group 1,student 3,treatment,25,17,77,4
school 2,School 2  Group 1,student 3,treatment,30,22,101,9
school 2,School 2  Group 1,student 3,treatment,35,27,102,14
school 2,School 2  Group 1,student 3,treatment,39,31,102,18
school 2,School 2  Group 1,student 3,treatment,44,36,100,23
school 2,School 2  Group 1,student 3,treatment,49,41,109,28
school 2,School 2  Group 1,student 3,treatment,54,46,97,33
school 2,School 2  Group 2,student 4,baseline,1,0,65,-20
school 2,School 2  Group 2,student 4,baseline,3,0,71,-18
school 2,School 2  Group 2,student 4,baseline,4,0,82,-17
school 2,School 2  Group 2,student 4,baseline,6,0,77,-15
school 2,School 2  Group 2,student 4,baseline,8,0,88,-13
school 2,School 2  Group 2,student 4,treatment,11,3,63,-10
school 2,School 2  Group 2,student 4,treatment,16,8,73,-5
school 2,School 2  Group 2,student 4,treatment,21,13,79,0
school 2,School 2  Group 2,student 4,treatment,25,17,79,4
school 2,School 2  Group 2,student 4,treatment,30,22,84,9
school 2,School 2  Group 2,student 4,treatment,35,27,96,14
school 2,School 2  Group 2,student 4,treatment,39,31,90,18
school 2,School 2  Group 2,student 4,treatment,44,36,85,23
school 2,School 2  Group 2,student 4,treatment,49,41,82,28
school 2,School 2  Group 2,student 4,treatment,54,46,92,33
school 2,School 2  Group 2,student 5,baseline,3,0,74,-18
school 2,School 2  Group 2,student 5,baseline,4,0,71,-17
school 2,School 2  Group 2,student 5,baseline,6,0,95,-15
school 2,School 2  Group 2,student 5,baseline,8,0,68,-13
school 2,School 2  Group 2,student 5,treatment,11,3,76,-10
school 2,School 2  Group 2,student 5,treatment,16,8,85,-5
school 2,School 2  Group 2,student 5,treatment,21,13,85,0
school 2,School 2  Group 2,student 5,treatment,25,17,90,4
school 2,School 2  Group 2,student 5,treatment,30,22,92,9
school 2,School 2  Group 2,student 5,treatment,35,27,95,14
school 2,School 2  Group 2,student 5,treatment,39,31,89,18
school 2,School 2  Group 2,student 5,treatment,44,36,99,23
school 2,School 2  Group 2,student 5,treatment,49,41,94,28
school 2,School 2  Group 2,student 5,treatment,54,46,111,33
school 3,School 3  Group 1,student 1,baseline,1,0,71,-20
school 3,School 3  Group 1,student 1,baseline,3,0,87,-18
school 3,School 3  Group 1,student 1,baseline,4,0,75,-17
school 3,School 3  Group 1,student 1,baseline,7,0,94,-14
school 3,School 3  Group 1,student 1,baseline,9,0,94,-12
school 3,School 3  Group 1,student 1,baseline,11,0,94,-10
school 3,School 3  Group 1,student 1,treatment,16,5,94,-5
school 3,School 3  Group 1,student 1,treatment,21,10,89,0
school 3,School 3  Group 1,student 1,treatment,25,14,100,4
school 3,School 3  Group 1,student 1,treatment,30,19,90,9
school 3,School 3  Group 1,student 1,treatment,35,24,118,14
school 3,School 3  Group 1,student 1,treatment,39,28,97,18
school 3,School 3  Group 1,student 1,treatment,44,33,108,23
school 3,School 3  Group 1,student 1,treatment,49,38,111,28
school 3,School 3  Group 1,student 1,treatment,54,43,111,33
school 3,School 3  Group 1,student 1,treatment,59,48,105,38
school 3,School 3  Group 1,student 2,baseline,1,0,63,-20
school 3,School 3  Group 1,student 2,baseline,3,0,59,-18
school 3,School 3  Group 1,student 2,baseline,4,0,52,-17
school 3,School 3  Group 1,student 2,baseline,7,0,48,-14
school 3,School 3  Group 1,student 2,baseline,9,0,61,-12
school 3,School 3  Group 1,student 2,baseline,11,0,51,-10
school 3,School 3  Group 1,student 2,treatment,16,5,64,-5
school 3,School 3  Group 1,student 2,treatment,21,10,61,0
school 3,School 3  Group 1,student 2,treatment,25,14,58,4
school 3,School 3  Group 1,student 2,treatment,30,19,66,9
school 3,School 3  Group 1,student 2,treatment,35,24,58,14
school 3,School 3  Group 1,student 2,treatment,39,28,66,18
school 3,School 3  Group 1,student 2,treatment,44,33,82,23
school 3,School 3  Group 1,student 2,treatment,49,38,85,28
school 3,School 3  Group 1,student 2,treatment,54,43,84,33
school 3,School 3  Group 1,student 2,treatment,59,48,81,38
school 3,School 3  Group 2,student 3,baseline,1,0,76,-20
school 3,School 3  Group 2,student 3,baseline,3,0,88,-18
school 3,School 3  Group 2,student 3,baseline,4,0,96,-17
school 3,School 3  Group 2,student 3,baseline,7,0,92,-14
school 3,School 3  Group 2,student 3,baseline,9,0,98,-12
school 3,School 3  Group 2,student 3,treatment,16,5,106,-5
school 3,School 3  Group 2,student 3,treatment,21,10,96,0
school 3,School 3  Group 2,student 3,treatment,25,14,105,4
school 3,School 3  Group 2,student 3,treatment,30,19,108,9
school 3,School 3  Group 2,student 3,treatment,35,24,118,14
school 3,School 3  Group 2,student 3,treatment,39,28,117,18
school 3,School 3  Group 2,student 3,treatment,44,33,122,23
school 3,School 3  Group 2,student 3,treatment,49,38,127,28
school 3,School 3  Group 2,student 3,treatment,54,43,128,33
school 3,School 3  Group 2,student 3,treatment,59,48,130,38
school 3,School 3  Group 2,student 4,baseline,1,0,57,-20
school 3,School 3  Group 2,student 4,baseline,3,0,62,-18
school 3,School 3  Group 2,student 4,baseline,4,0,51,-17
school 3,School 3  Group 2,student 4,baseline,7,0,62,-14
