ID_participant,Workday,AB_phase,Daytype,SRL_SCORE_F,SRL_SCORE_P,SRL_SCORE_SR,SRL_SCORE_MEAN
1406,1,1,0,0,0,0.5,0.17
1406,2,1,0,,,,
1406,3,1,0,0,1,0.5,0.5
1406,4,1,0,0,0,0.5,0.17
1406,5,1,0,0,1,0.5,0.5
1406,6,1,1,0,0,0.5,0.17
1406,7,1,1,0,0,0,0
1406,8,1,1,1,1,0.5,0.83
1406,9,1,1,,,,
1406,10,1,1,,,,
1406,11,2,0,1,1,0.5,0.83
1406,12,2,0,,,,
1406,13,2,0,0,0,0,0
1406,14,2,0,0.5,0,0.5,0.33
1406,15,2,0,0,0,0,0
1406,16,2,1,0,0,0.5,0.17
1406,17,2,1,0,0,0,0
1406,18,2,1,0,0,0,0
1406,19,2,1,0,0,0,0
1406,20,2,1,0,0,0,0
1406,21,3,0,0,0,0,0
1406,22,3,0,0,0,0.5,0.17
1406,23,3,0,0,0,0,0
1406,24,3,0,0,0,0.5,0.17
1406,25,3,0,0,1,0.5,0.5
1406,26,3,1,0,0,0,0
1406,27,3,1,0,1,0.5,0.5
1406,28,3,1,0,0,0,0
1406,29,3,1,0,0,0.5,0.17
1406,30,3,1,1,0.5,1,0.83
1427,1,1,0,1,0.5,1,0.83
1427,2,1,0,0,0,0,0
1427,3,1,0,0.5,0.5,0.5,0.5
1427,4,1,0,0,0,0.5,0.17
1427,5,1,0,1,1,0.5,0.83
1427,6,1,1,0,0,0.5,0.17
1427,7,1,1,0,0,0,0
1427,8,1,1,1,1,1,1
1427,9,1,1,1,1,1,1
1427,10,1,1,0.5,1,0.5,0.67
1427,11,2,0,0.5,0.5,1,0.67
1427,12,2,0,1,1,0.5,0.83
1427,13,2,0,0.5,1,1,0.83
1427,14,2,0,0,0,0,0
1427,15,2,0,0,0,0.5,0.17
1427,16,2,1,0,0,0.5,0.17
1427,17,2,1,0,0,0.5,0.17
1427,18,2,1,0,0,0.5,0.17
1427,19,2,1,0.5,1,0.5,0.67
1427,20,2,1,0,0,0,0
1427,21,3,0,,,,
1427,22,3,0,0,0,0.5,0.17
1427,23,3,0,1,1,0.5,0.83
1427,24,3,0,,,,
1427,25,3,0,0,0,0.5,0.17
1427,26,3,1,0,0,0.5,0.17
1427,27,3,1,0,1,0,0.33
1427,28,3,1,0,0,0.5,0.17
1427,29,3,1,0.5,1,1,0.83
1427,30,3,1,0,0,0.5,0.17
1430,1,1,0,0.5,1,1,0.83
