case,phase,condition,session,outcome
Deborah's Group,A1,A,1,62.63
Deborah's Group,A1,A,2,40.22
Deborah's Group,A1,A,3,54.26
Deborah's Group,A1,A,4,40.26
Deborah's Group,A1,A,5,46.82
Deborah's Group,A1,A,6,52.45
Deborah's Group,B1,B,7,25.37
Deborah's Group,B1,B,8,26.32
Deborah's Group,B1,B,9,7.65
Deborah's Group,B1,B,10,11.41
Deborah's Group,B1,B,11,13.3
Deborah's Group,B1,B,12,22.66
Deborah's Group,B1,B,13,13.34
Deborah's Group,B1,B,14,7.75
Deborah's Group,B1,B,15,11.5
Deborah's Group,B1,B,16,20.87
Deborah's Group,B1,B,17,32.11
Deborah's Group,B1,B,18,19.98
Deborah's Group,B1,B,19,10.65
Deborah's Group,B1,B,20,13.47
Deborah's Group,B1,B,21,18.16
Deborah's Group,B1,B,22,24.73
Deborah's Group,B1,B,23,6.06
Deborah's Group,B1,B,24,29.44
Deborah's Group,B1,B,25,28.52
Deborah's Group,B1,B,26,25.74
Deborah's Group,B1,B,28,11.76
Deborah's Group,B1,B,29,12.71
Deborah's Group,B1,B,30,8.06
Deborah's Group,B1,B,31,10.88
Deborah's Group,B1,B,33,17.46
Deborah's Group,B1,B,34,6.27
Amy's Group,A1,A,1,16.67
Amy's Group,A1,A,2,28.43
Amy's Group,A1,A,3,29.41
Amy's Group,A1,A,4,30.39
Amy's Group,A1,A,5,45.1
Amy's Group,A1,A,6,37.25
Amy's Group,A1,A,7,23.53
Amy's Group,A1,A,8,41.18
Amy's Group,A1,A,9,36.27
Amy's Group,A1,A,10,46.08
Amy's Group,B1,B,11,25.49
Amy's Group,B1,B,13,11.76
Amy's Group,B1,B,14,5.88
Amy's Group,B1,B,15,23.53
Amy's Group,B1,B,16,3.92
Amy's Group,B1,B,17,11.76
Amy's Group,B1,B,18,7.84
Amy's Group,B1,B,19,10.78
Amy's Group,B1,B,20,4.9
Amy's Group,B1,B,21,9.8
Amy's Group,B1,B,22,4.9
Amy's Group,B1,B,23,3.92
Amy's Group,B1,B,24,4.9
Amy's Group,B1,B,25,5.88
Amy's Group,B1,B,26,4.9
Amy's Group,B1,B,27,1.96
Amy's Group,B1,B,28,2.94
Amy's Group,B1,B,29,9.8
Amy's Group,B1,B,30,4.9
Amy's Group,B1,B,31,10.78
Amy's Group,B1,B,33,3.92
Barbara's Group,A1,A,1,27.62
Barbara's Group,A1,A,2,54.29
Barbara's Group,A1,A,3,64.76
Barbara's Group,A1,A,4,63.81
Barbara's Group,A1,A,5,55.24
Barbara's Group,A1,A,6,38.1
Barbara's Group,A1,A,10,57.14
Barbara's Group,A1,A,11,68.57
Barbara's Group,A1,A,12,55.24
Barbara's Group,A1,A,13,70.48
Barbara's Group,A1,A,14,59.05
Barbara's Group,A1,A,15,43.81
Barbara's Group,B1,B,16,12.38
Barbara's Group,B1,B,17,16.19
Barbara's Group,B1,B,18,12.38
Barbara's Group,B1,B,19,16.19
Barbara's Group,B1,B,20,20
Barbara's Group,B1,B,21,10.48
Barbara's Group,B1,B,22,38.1
Barbara's Group,B1,B,23,12.38
Barbara's Group,B1,B,24,15.24
Barbara's Group,B1,B,25,11.43
Barbara's Group,B1,B,26,11.43
Barbara's Group,B1,B,27,7.62
Barbara's Group,B1,B,28,12.38
Barbara's Group,B1,B,29,16.19
Barbara's Group,B1,B,30,4.76
Barbara's Group,B1,B,31,7.62
Barbara's Group,B1,B,33,5.71
Barbara's Group,B1,B,34,17.14
Natasha's Group,A1,A,1,23.3
Natasha's Group,A1,A,2,14.56
Natasha's Group,A1,A,3,34.95
Natasha's Group,A1,A,4,47.57
Natasha's Group,A1,A,5,12.62
Natasha's Group,A1,A,6,22.33
Natasha's Group,A1,A,8,30.1
Natasha's Group,A1,A,9,42.72
Natasha's Group,A1,A,10,27.18
Natasha's Group,A1,A,11,28.16
Natasha's Group,A1,A,13,31.07
Natasha's Group,A1,A,14,12.62
Natasha's Group,A1,A,15,33.01
Natasha's Group,A1,A,16,20.39
Natasha's Group,A1,A,17,33.01
Natasha's Group,A1,A,18,11.65
Natasha's Group,A1,A,19,18.45
Natasha's Group,B1,B,20,3.88
Natasha's Group,B1,B,21,12.62
Natasha's Group,B1,B,22,12.62
Natasha's Group,B1,B,23,13.59
Natasha's Group,B1,B,24,7.77
Natasha's Group,B1,B,25,8.74
Natasha's Group,B1,B,26,4.85
Natasha's Group,B1,B,28,1.94
Natasha's Group,B1,B,30,10.68
Natasha's Group,B1,B,31,11.65
Natasha's Group,B1,B,33,4.85
Candice's Group,A1,A,1,20.79
Candice's Group,A1,A,2,33.66
Candice's Group,A1,A,3,37.62
Candice's Group,A1,A,4,62.38
Candice's Group,A1,A,5,36.63
Candice's Group,A1,A,6,41.58
Candice's Group,A1,A,7,44.55
Candice's Group,A1,A,8,61.39
Candice's Group,A1,A,9,33.66
Candice's Group,A1,A,10,24.75
Candice's Group,A1,A,14,25.74
Candice's Group,A1,A,15,32.67
Candice's Group,A1,A,16,15.84
Candice's Group,A1,A,17,34.65
Candice's Group,A1,A,18,7.92
Candice's Group,A1,A,19,29.7
Candice's Group,B1,B,20,17.82
Candice's Group,B1,B,21,36.63
Candice's Group,B1,B,22,18.81
Candice's Group,B1,B,23,15.84
Candice's Group,B1,B,24,33.66
Candice's Group,B1,B,26,22.77
Candice's Group,B1,B,28,13.86
Candice's Group,B1,B,29,7.92
Candice's Group,B1,B,30,12.87
Candice's Group,B1,B,31,9.9
Candice's Group,B1,B,34,20.79
