case,phase,condition,session,outcome
Brooke,A1,No Choice,1,25.35
Brooke,A1,No Choice,2,73.77
Brooke,A1,No Choice,3,30.25
Brooke,A1,No Choice,4,38.3
Brooke,A1,No Choice,5,25.42
Brooke,A1,No Choice,6,71.61
Brooke,A1,No Choice,7,84.91
Brooke,A1,No Choice,8,86.22
Brooke,A1,No Choice,9,76.34
Brooke,B1,Choice,10,19.19
Brooke,B1,Choice,11,19.36
Brooke,B1,Choice,12,7.08
Brooke,B1,Choice,13,0
Brooke,B1,Choice,14,7.49
Brooke,A2,No Choice,15,97.03
Brooke,A2,No Choice,16,99.1
Brooke,A2,No Choice,17,77.25
Brooke,A2,No Choice,18,98.76
Brooke,A2,No Choice,19,97.09
Brooke,B2,Choice,20,7.97
Brooke,B2,Choice,21,0.9
Brooke,B2,Choice,22,1
Brooke,B2,Choice,23,2.97
Brooke,B2,Choice,24,1
Brooke,B2,Choice,25,0
Christy,A1,No Choice,1,21.64
Christy,A1,No Choice,2,62.76
Christy,A1,No Choice,3,54.15
Christy,A1,No Choice,4,75.81
Christy,A1,No Choice,5,75.81
Christy,A1,No Choice,6,54.28
Christy,A1,No Choice,7,79.55
Christy,A1,No Choice,8,73.1
Christy,A1,No Choice,9,77.46
Christy,B1,Choice,10,71.02
Christy,B1,Choice,11,89.08
Christy,B1,Choice,12,94.89
Christy,B1,Choice,13,90.6
Christy,A2,No Choice,14,57.49
Christy,A2,No Choice,15,91.41
Christy,A2,No Choice,16,87.12
Christy,A2,No Choice,17,91.49
Christy,A2,No Choice,18,67.03
Christy,A2,No Choice,19,90.14
Christy,B2,Choice,20,95.94
Christy,B2,Choice,21,90.94
Christy,B2,Choice,22,67.2
Christy,B2,Choice,23,96.07
Christy,B2,Choice,24,93.22
Christy,B2,Choice,25,96.15
Christy,C1,Differential reinforcement of alternative behavior,26,68.08
Christy,C1,Differential reinforcement of alternative behavior,27,20
Christy,C1,Differential reinforcement of alternative behavior,28,8.34
Christy,C1,Differential reinforcement of alternative behavior,29,5.5
Christy,C1,Differential reinforcement of alternative behavior,30,8.43
