Case,Session,Condition,Outcome, , , , , 
Teacher 1,1,0,1.7, , , , , 
Teacher 1,2,0,0.38, , , , , 
Teacher 1,3,0,0.49, , , , , 
Teacher 1,4,0,1.29, , , , , 
Teacher 1,5,0,0.49, , , , , 
Teacher 1,6,0,1.6, , , , , 
Teacher 1,7,0,1.29, , , , , 
Teacher 1,8,0,, , , , , 
Teacher 1,9,0,, , , , , 
Teacher 1,10,1,0.19, , , , , 
Teacher 1,11,1,1.59, , , , , 
Teacher 1,12,1,0.49, , , , , 
Teacher 1,13,1,0.49, , , , , 
Teacher 1,14,1,0.49, , , , , 
Teacher 1,15,1,1.28, , , , , 
Teacher 1,16,1,0.88, , , , , 
Teacher 1,17,1,1.69, , , , , 
Teacher 1,18,1,, , , , , 
Teacher 1,19,1,1.6, , , , , 
Teacher 1,20,1,, , , , , 
Teacher 1,21,1,, , , , , 
Teacher 1,22,1,, , , , , 
Teacher 1,23,1,1.68, , , , , 
Teacher 1,24,1,2.51, , , , , 
Teacher 1,25,1,1.3, , , , , 
Teacher 1,26,1,1.61, , , , , 
Teacher 1,27,1,1.58, , , , , 
Teacher 1,28,1,3, , , , , 
Teacher 1,29,1,2.78, , , , , 
Teacher 1,30,1,, , , , , 
Teacher 1,31,1,2.8, , , , , 
Teacher 1,32,1,2.79, , , , , 
Teacher 1,33,1,1.89, , , , , 
Teacher 1,34,1,3.2, , , , , 
Teacher 1,35,1,3.21, , , , , 
Teacher 2,1,0,2.2, , , , , 
Teacher 2,2,0,0.69, , , , , 
Teacher 2,3,0,0.59, , , , , 
Teacher 2,4,0,1, , , , , 
Teacher 2,5,0,0.3, , , , , 
Teacher 2,6,0,1.2, , , , , 
Teacher 2,7,0,0.68, , , , , 
Teacher 2,8,0,0.58, , , , , 
Teacher 2,9,0,0.59, , , , , 
Teacher 2,10,0,1.39, , , , , 
Teacher 2,11,0,1.21, , , , , 
Teacher 2,12,0,1.01, , , , , 
Teacher 2,13,0,0.5, , , , , 
Teacher 2,14,0,, , , , , 
Teacher 2,15,1,1.51, , , , , 
Teacher 2,16,1,0.5, , , , , 
Teacher 2,17,1,0.81, , , , , 
Teacher 2,18,1,0.78, , , , , 
Teacher 2,19,1,1.3, , , , , 
Teacher 2,20,1,1.08, , , , , 
Teacher 2,21,1,1.11, , , , , 
Teacher 2,22,1,0.79, , , , , 
Teacher 2,23,1,1.61, , , , , 
Teacher 2,24,1,0.7, , , , , 
Teacher 2,25,1,2.01, , , , , 
Teacher 2,26,1,1.59, , , , , 
Teacher 2,27,1,1.9, , , , , 
Teacher 2,28,1,2.91, , , , , 
Teacher 2,29,1,2.91, , , , , 
Teacher 2,30,1,5.18, , , , , 
Teacher 2,31,1,4.3, , , , , 
Teacher 2,32,1,2.93, , , , , 
Teacher 2,33,1,3.9, , , , , 
Teacher 2,34,1,4, , , , , 
Teacher 2,35,1,2.5, , , , , 
Teacher 2,36,1,3.58, , , , , 
 , , , , , , , , 
  , , , , , , , , 
   , , , , , , , , 
    , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
